name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Lukas Rupp,MID,Norwich,Liverpool,90,0,0,3,0,13,0,0,0,0,0,0,2.8,5.2,2.2,21.0,True,2,2.0,5.0,-3.0
Lukas Rupp,MID,Norwich,Man City,45,0,0,2,0,2,0,0,0,0,0,0,0.6,5.2,0.3,0.0,False,1,2.0,5.0,-3.0
Lukas Rupp,MID,Norwich,Leicester,17,0,0,1,0,5,0,0,0,0,0,0,2.9,6.2,14.7,8.0,True,1,2.0,3.0,-1.0
Lukas Rupp,MID,Norwich,Arsenal,79,0,0,1,0,10,0,0,0,0,0,0,0.9,4.0,2.3,3.0,False,2,2.0,4.0,-2.0
Lukas Rupp,MID,Norwich,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Lukas Rupp,MID,Norwich,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Lukas Rupp,MID,Norwich,Burnley,10,0,0,0,0,3,0,0,0,0,0,0,0.2,1.6,0.8,0.0,False,1,2.0,2.0,0.0
Lukas Rupp,MID,Norwich,Brighton,7,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,2.0,2.0,0.0
Lukas Rupp,MID,Norwich,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Lukas Rupp,MID,Norwich,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Lukas Rupp,MID,Norwich,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Lukas Rupp,MID,Norwich,Southampton,4,0,0,0,0,3,0,0,0,0,0,0,0.5,5.0,0.0,0.0,True,1,2.0,3.0,-1.0
Lukas Rupp,MID,Norwich,Wolves,55,0,0,0,0,14,0,0,0,0,0,0,8.7,14.8,37.4,35.0,True,1,2.0,3.0,-1.0
Lukas Rupp,MID,Norwich,Newcastle,90,0,0,1,0,18,0,0,0,0,0,0,5.9,10.2,28.7,20.0,False,2,2.0,3.0,-1.0
Lukas Rupp,MID,Norwich,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Lukas Rupp,MID,Norwich,Man Utd,75,0,0,1,0,12,0,0,0,0,0,0,5.8,13.6,23.8,21.0,True,2,2.0,4.0,-2.0
Lukas Rupp,MID,Norwich,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Lukas Rupp,MID,Norwich,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Lukas Rupp,MID,Norwich,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Lukas Rupp,MID,Norwich,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
